index1,index2,distance_km,lat,lon,lat_match,lon_match
116,117,2.5832007248400437e-05,41.57376778,-169.5627133,41.57376772,-169.562713
116,118,1.941501395811885e-05,41.57376778,-169.5627133,41.57376769,-169.5627131
116,119,2.7320764920665934e-05,41.57376778,-169.5627133,41.57376768,-169.5627136
117,118,8.962465380795256e-06,41.57376772,-169.562713,41.57376769,-169.5627131
117,119,5.0108944771320146e-05,41.57376772,-169.562713,41.57376768,-169.5627136
118,119,4.1607490143404525e-05,41.57376769,-169.5627131,41.57376768,-169.5627136
